id,tweetText,tweetURL,type,tweetAuthor,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL
1737117340456935646,"Delincuentes entraron a un centro comercial de La Aurora, sometieron a los guardias y robaron en dos locales ►https://t.co/bN86xJvzeq https://t.co/mvJCX94yX4",https://twitter.com/eluniversocom/status/1737117340456935646,tweet,El Universo,1,0,0,3,32,0,2023-12-19 09:27:02,https://pbs.twimg.com/media/GBt7BAAaQAAzuG4.png
1737116893209874432,Últimas lluvias mejoran caudales de ríos de Cuenca y alejan racionamientos de agua ►https://t.co/xqb6ZCwDZr https://t.co/5sTDf3Jjce,https://twitter.com/eluniversocom/status/1737116893209874432,tweet,El Universo,1,0,3,8,307,0,2023-12-19 09:25:16,https://pbs.twimg.com/media/GBt6m7xbwAAT6yc.png
1737116224218333602,Tramo de la vía Cuenca-Girón-Pasaje está cerrado al tránsito por deslizamiento  ►https://t.co/DTiTwjNCie https://t.co/nPv3uhGZlg,https://twitter.com/eluniversocom/status/1737116224218333602,tweet,El Universo,1,0,0,0,671,0,2023-12-19 09:22:36,https://pbs.twimg.com/media/GBt6ABebcAApPKT.png
1737114508177674635,Hombre fue asesinado frente a su esposa e hija en Machala ►https://t.co/EUAjcI2Ibr https://t.co/mBgpJ61ybc,https://twitter.com/eluniversocom/status/1737114508177674635,tweet,El Universo,1,1,0,1,1691,0,2023-12-19 09:15:47,https://pbs.twimg.com/media/GBt4cBZaYAAWdyT.png
1737114382449156174,"¿Por qué se llamó Metástasis al caso que investiga a jueces, fiscales y hasta abogados? ►https://t.co/jljigHSOZD https://t.co/RpLGAVrT16",https://twitter.com/eluniversocom/status/1737114382449156174,tweet,El Universo,2,0,0,3,1635,0,2023-12-19 09:15:17,https://pbs.twimg.com/media/GBt4UygakAAKQZz.png
1737113835818152066,"Deslizamiento de tierra obliga al cierre de la vía Culebrillas, en el noroccidente de Quito ►https://t.co/RKwRSPt33h https://t.co/MBUDk92VJ8",https://twitter.com/eluniversocom/status/1737113835818152066,tweet,El Universo,1,0,0,0,1496,0,2023-12-19 09:13:07,https://pbs.twimg.com/media/GBt31A5aMAAdDiZ.png
1737112343270895860,Audiencia por el asesinato de Fernando Villavicencio vuelve a diferirse y queda para febrero de 2024 ►https://t.co/6OehAOG2We https://t.co/hWosBmreUY,https://twitter.com/eluniversocom/status/1737112343270895860,tweet,El Universo,1,0,1,4,2301,0,2023-12-19 09:07:11,https://pbs.twimg.com/media/GBt2eHubIAAspYN.png
1737111867594793014,Qué se celebra el 19 de diciembre ►https://t.co/E9dRiXNeLw https://t.co/o91Ob5sQgC,https://twitter.com/eluniversocom/status/1737111867594793014,tweet,El Universo,1,0,0,1,2233,0,2023-12-19 09:05:17,https://pbs.twimg.com/media/GBt2CZYb0AAaEAG.png
1737110677255524481,En tres ciudades de #Ecuador la canasta básica supera los 800 dólares: ¿cómo está la inflación en cada población? ► https://t.co/6mFyHM2ruO https://t.co/Bh5CNU3lU7,https://twitter.com/eluniversocom/status/1737110677255524481,tweet,El Universo,1,0,0,3,2296,0,2023-12-19 09:00:34,https://pbs.twimg.com/media/GBt09KNWEAA6qnw.jpg
1737107423427801388,"Pronóstico del clima en #Ecuador, #Guayaquil y #Quito para la mañana, tarde y noche de este martes, 19 de diciembre, según el Inamhi ►https://t.co/uYarJytdWN https://t.co/fXwuJGqEYX",https://twitter.com/eluniversocom/status/1737107423427801388,tweet,El Universo,1,0,0,5,2907,0,2023-12-19 08:47:38,https://pbs.twimg.com/media/GBtx_w9bkAAfHt0.png
1737105547751518622,‘Esto significa un gasto mayor’: las piedras de la calle Solano están levantadas formando ‘cráteres’ en la vía https://t.co/8rmOQZu1J3 https://t.co/qcod2IZyD7,https://twitter.com/eluniversocom/status/1737105547751518622,tweet,El Universo,1,0,0,3,3349,0,2023-12-19 08:40:11,https://pbs.twimg.com/media/GBtwSk4XoAMhZu7.jpg
1737102484634784074,#URGENTE | Los apagones de tres horas se suspenden y volverán a una hora y media en la Costa y dos horas en la Sierra ►https://t.co/CskaESh4Tf https://t.co/wyXfa3Dvh3,https://twitter.com/eluniversocom/status/1737102484634784074,tweet,El Universo,5,5,16,28,10104,1,2023-12-19 08:28:00,https://pbs.twimg.com/media/GBttcDfWQAAqhRD.jpg
1737098016220127392,El delito de extorsión creció en un 390 % en Guayaquil y el de asesinato en un 70 % en este 2023  https://t.co/07OetHoE1W https://t.co/Z7Gktjgbjp,https://twitter.com/eluniversocom/status/1737098016220127392,tweet,El Universo,14,10,49,53,10218,3,2023-12-19 08:10:15,https://pbs.twimg.com/media/GBtpcJTWYAAiSFs.jpg
1737095529669001297,"Nelson, de 15 años, cantó y bailó en la fiesta de Navidad de su colegio y horas después se suicidó en su casa: los suicidios encienden las alertas este mes ► https://t.co/LwI0CoXmQO https://t.co/ugLi0UN0qj",https://twitter.com/eluniversocom/status/1737095529669001297,tweet,El Universo,2,0,11,17,10948,0,2023-12-19 08:00:22,https://pbs.twimg.com/media/GBtnLf4XIAAsHBS.jpg
1737089211608527117,"“Creía que era gripe hasta que ya no podía caminar por falta de aire”: vuelven las hospitalizaciones por COVID-19 en Guayaquil, incluso con el uso de  Actemra https://t.co/sDSViaoVWr https://t.co/uvmdalrDbb",https://twitter.com/eluniversocom/status/1737089211608527117,tweet,El Universo,11,4,71,110,26769,5,2023-12-19 07:35:16,https://pbs.twimg.com/media/GBthbn5WMAAYiHk.jpg
1737080431344828581,"Les compartimos la #ColumnaDeBonil de este 19 de diciembre

#Bonil #opinión #caricatura #Ecuador https://t.co/UzDjTFSWe8",https://twitter.com/eluniversocom/status/1737080431344828581,tweet,El Universo,12,1,20,109,8458,0,2023-12-19 07:00:22,https://pbs.twimg.com/media/GBtZchwXYAAGMuf.jpg
1737075360741691732,"‘No conozco a Leandro Norero, nunca he usado armas’, aseguró María Fernanda Vargas, mencionada en chats del ‘Patrón’ ► https://t.co/3fHtLX6rHF https://t.co/WrSTQ8vI6O",https://twitter.com/eluniversocom/status/1737075360741691732,tweet,El Universo,86,16,22,67,39599,3,2023-12-19 06:40:13,https://pbs.twimg.com/media/GBtU1gTXoAAWfWN.jpg
1737070329682432477,Se suspenden cortes de luz en #Ecuador este martes por disposición de Cenace ► https://t.co/Ct96Xvh7jn https://t.co/a2eQ1hCrXG,https://twitter.com/eluniversocom/status/1737070329682432477,tweet,El Universo,6,1,5,30,9455,0,2023-12-19 06:20:14,https://pbs.twimg.com/media/GBtQQq1XAAA72I1.jpg
1737065301232021899,Les compartimos nuestra portada de este martes 19 de diciembre. Las #noticias de #Ecuador y el mundo en https://t.co/6TIoigGXFC https://t.co/T5Ha0fHT4Q,https://twitter.com/eluniversocom/status/1737065301232021899,tweet,El Universo,6,0,18,32,7736,0,2023-12-19 06:00:15,https://pbs.twimg.com/media/GBtLr7MWYAAAujJ.jpg
1736974697969930750,En chats de Leandro Norero se menciona una reunión en México con ‘RC’ ► https://t.co/MlCBY4N14Y https://t.co/27C940YMD3,https://twitter.com/eluniversocom/status/1736974697969930750,tweet,El Universo,12,0,62,111,15279,2,2023-12-19 00:00:14,https://pbs.twimg.com/media/GBr5SKTW4AAcxX0.jpg
1736969653363126418,"Martin Garrix en #Ecuador, estos son los precios del concierto de música electrónica que ofrecerá ► https://t.co/Akg0EYoFR4 https://t.co/2L1NXTViUQ",https://twitter.com/eluniversocom/status/1736969653363126418,tweet,El Universo,0,1,6,21,8182,0,2023-12-18 23:40:11,https://pbs.twimg.com/media/GBr0siSWoAAgAJD.jpg
1736967762822504584,Juicios políticos contra Esteban Bernal y vocales de la Judicatura tienen nuevos proponentes ► https://t.co/LyOJUv0MGb https://t.co/oHwBSUQqLA,https://twitter.com/eluniversocom/status/1736967762822504584,tweet,El Universo,0,0,5,17,7707,0,2023-12-18 23:32:40,https://pbs.twimg.com/media/GBry-dtWMAA0NB6.jpg
1736964621557191162,Conozca dónde se publican las vacantes en el aeropuerto de Guayaquil y evite caer en estafas para conseguir empleo ► https://t.co/YZYlT41G4e https://t.co/hlsQd7D90V,https://twitter.com/eluniversocom/status/1736964621557191162,tweet,El Universo,1,0,7,30,13840,8,2023-12-18 23:20:11,https://pbs.twimg.com/media/GBrwHlwXcAAETmR.jpg
1736958856993931598,"Leonel Montoya y Edgardo Bauza, los DT de Liga de Quito con más títulos del campeonato nacional►https://t.co/OrU1JweV57 https://t.co/0fgQkQuZhJ",https://twitter.com/eluniversocom/status/1736958856993931598,retweet,El Universo,0,0,6,0,6,0,2023-12-18 22:57:17,
1736954557110817258,Google habilita en Workspace la firma electrónica en Drive y Docs ► https://t.co/kfwk2BiEDn https://t.co/SWs4QxnszG,https://twitter.com/eluniversocom/status/1736954557110817258,tweet,El Universo,0,0,9,36,11109,0,2023-12-18 22:40:12,https://pbs.twimg.com/media/GBrm90SX0AAbJwQ.jpg
1736951621861433404,#Guayaquil: cuatro carriles de la avenida de Las Américas tendrán cierres parciales desde este miércoles ► https://t.co/JR0TbV5CgK https://t.co/BBacSbt0XL,https://twitter.com/eluniversocom/status/1736951621861433404,retweet,El Universo,0,0,7,0,9,0,2023-12-18 22:28:32,
1736949521131720815,‘Hay una pose de lo que significa ser inteligente que ha alejado a buena parte de los lectores’: Mario Mendoza hace un homenaje a los libros en ‘Leer es resistir’ https://t.co/MCUyQnYBAW https://t.co/mxWWJSvhbP,https://twitter.com/eluniversocom/status/1736949521131720815,tweet,El Universo,0,0,1,12,8301,0,2023-12-18 22:20:11,https://pbs.twimg.com/media/GBriYqBXMAAFpjD.jpg
1736947006361186571,"En Tulcán, fuerte lluvia derrumba muro y deja una persona fallecida ► https://t.co/5Ka621RtcV https://t.co/xuq9HwCtxu",https://twitter.com/eluniversocom/status/1736947006361186571,tweet,El Universo,0,0,3,19,8048,0,2023-12-18 22:10:11,https://pbs.twimg.com/media/GBrgGQpXUAAj2Jy.jpg
1736945745155027333,Fiscalía habilita página web para visualizar la información relacionada con el caso Metástasis ► https://t.co/DQeh3YQdmp https://t.co/rMyz1jLai6,https://twitter.com/eluniversocom/status/1736945745155027333,tweet,El Universo,1,1,20,67,10947,1,2023-12-18 22:05:11,https://pbs.twimg.com/media/GBre83jWMAAzrar.jpg
1736944494266794169,Hospital Pablo Arturo Suárez en #Quito repotenció su servicio de hospitalización pediátrica ► https://t.co/c31n4KYRRp https://t.co/EB6N1mSRWx,https://twitter.com/eluniversocom/status/1736944494266794169,tweet,El Universo,0,0,1,16,7673,1,2023-12-18 22:00:12,https://pbs.twimg.com/media/GBrd0DgXMAANPjZ.jpg
1736943065552535749,Supuesto implicado en asalto a pareja fue abatido por policías en el suburbio de #Guayaquil ► https://t.co/WXHBDCsJ4t https://t.co/VzZpqjuTmv,https://twitter.com/eluniversocom/status/1736943065552535749,tweet,El Universo,3,0,0,28,8418,1,2023-12-18 21:54:32,https://pbs.twimg.com/media/GBrcg5CXwAA7xmA.jpg
1736941971380322406,Ministerio de Salud Pública abastece con el medicamento antiviral para eliminar la hepatitis C ► https://t.co/nmWVwuB5RW https://t.co/ZVp9kPShb6,https://twitter.com/eluniversocom/status/1736941971380322406,tweet,El Universo,1,0,1,16,7742,0,2023-12-18 21:50:11,https://pbs.twimg.com/media/GBrbhOmWYAAimJ5.jpg
1736939462565785660,Abogada fue asesinada dentro de su oficina particular en Santo Domingo ► https://t.co/qQFU5uVue8 https://t.co/ge94996IEw,https://twitter.com/eluniversocom/status/1736939462565785660,tweet,El Universo,3,3,11,28,25917,0,2023-12-18 21:40:13,https://pbs.twimg.com/media/GBrZPMmWcAAfnHn.jpg
1736936938727219335,Tarifa eléctrica especial para la industria se revisará en mesas técnicas antes que en enero entre en vigencia nuevo tarifario ► https://t.co/CVf5DnkM8k https://t.co/WZihxd48kd,https://twitter.com/eluniversocom/status/1736936938727219335,tweet,El Universo,0,0,0,11,7704,0,2023-12-18 21:30:11,https://pbs.twimg.com/media/GBrW8RJXAAAKGZi.jpg
1736934421284921771,Así funcionaría tercera placa en #Quito para gestionar el tránsito vehicular ► https://t.co/f4EobMlgHK https://t.co/qCJqdeS9E8,https://twitter.com/eluniversocom/status/1736934421284921771,tweet,El Universo,0,0,0,7,11137,0,2023-12-18 21:20:11,https://pbs.twimg.com/media/GBrUpv2WoAAxv78.jpg
1736933544461492325,Alcaldesa del cantón Simón Bolívar afirmó que colaboraría con Fiscalía ► https://t.co/bGLWK49YGG https://t.co/UwFjc8ZV9U,https://twitter.com/eluniversocom/status/1736933544461492325,tweet,El Universo,147,33,44,262,91465,4,2023-12-18 21:16:42,https://pbs.twimg.com/media/GBrT2oDXgAAsYax.jpg
1736931908922011888,Aprovecha esta selección de imágenes de #Navidad creadas con inteligencia artificial para compartir en WhatsApp https://t.co/wc8SmD5CUv https://t.co/I9qyxvPTuW,https://twitter.com/eluniversocom/status/1736931908922011888,tweet,El Universo,0,0,1,7,8272,1,2023-12-18 21:10:12,https://pbs.twimg.com/media/GBrSXhKXYAA3loK.jpg
1736930859125465506,"‘No conozco a Leandro Norero, nunca he usado armas’, aseguró María Fernanda Vargas, mencionada en chats del ‘Patrón’ ► https://t.co/93UJslCgV1 https://t.co/gMpJBYutuu",https://twitter.com/eluniversocom/status/1736930859125465506,tweet,El Universo,371,102,139,622,182151,23,2023-12-18 21:06:02,https://pbs.twimg.com/media/GBrRaY_XYAAvr4Z.jpg
